Zipcode,State,City,Lat,Long
10499,NY,BRONX,40.84,-73.87
935,PR,SAN JUAN,18.4,-66.06
939,PR,SAN JUAN,18.4,-66.06
975,PR,SAN JUAN,18.4,-66.06
2477,MA,WATERTOWN,42.36,-71.17
1812,MA,ANDOVER,42.65,-71.14
1899,MA,ANDOVER,42.65,-71.14
5501,MA,ANDOVER,42.65,-71.14
2357,MA,NORTH EASTON,42.05,-71.1
1889,MA,NORTH READING,42.56,-71.06
5544,MA,ANDOVER,42.65,-71.14
2201,MA,BOSTON,42.35,-71.06
2204,MA,BOSTON,42.35,-71.06
2206,MA,BOSTON,42.35,-71.06
2211,MA,BOSTON,42.35,-71.06
2212,MA,BOSTON,42.35,-71.06
2217,MA,BOSTON,42.35,-71.06
2241,MA,BOSTON,42.35,-71.06
2266,MA,BOSTON,42.35,-71.06
2293,MA,BOSTON,42.35,-71.06
2295,MA,BOSTON,42.35,-71.06
2297,MA,BOSTON,42.35,-71.06
2325,MA,BRIDGEWATER,41.98,-70.97
1805,MA,BURLINGTON,42.5,-71.2
1546,MA,SHREWSBURY,42.3,-71.71
1470,MA,GROTON,42.6,-71.57
1471,MA,GROTON,42.6,-71.57
2340,MA,HANOVER,42.11,-70.81
2044,MA,HINGHAM,42.23,-70.88
1910,MA,LYNN,42.47,-70.96
2344,MA,MIDDLEBORO,41.86,-70.9
2348,MA,LAKEVILLE,41.86,-70.9
2349,MA,MIDDLEBORO,41.86,-70.9
1580,MA,WESTBOROUGH,42.26,-71.61
1582,MA,WESTBOROUGH,42.26,-71.61
1441,MA,WESTMINSTER,42.58,-71.98
1807,MA,WOBURN,42.48,-71.15
1813,MA,WOBURN,42.48,-71.15
1815,MA,WOBURN,42.48,-71.15
1653,MA,WORCESTER,42.26,-71.8
1654,MA,WORCESTER,42.26,-71.8
4333,ME,AUGUSTA,44.33,-69.72
4336,ME,AUGUSTA,44.33,-69.72
4420,ME,CASTINE,44.38,-68.8
4033,ME,FREEPORT,43.85,-70.1
4034,ME,FREEPORT,43.85,-70.1
4751,ME,LIMESTONE,46.91,-67.83
4469,ME,ORONO,44.88,-68.68
4122,ME,PORTLAND,43.66,-70.25
4123,ME,PORTLAND,43.66,-70.25
4124,ME,PORTLAND,43.66,-70.25
3305,NH,CONCORD,43.23,-71.56
3822,NH,DOVER,43.19,-70.87
3435,NH,KEENE,42.95,-72.29
3107,NH,MANCHESTER,42.99,-71.45
3111,NH,MANCHESTER,42.99,-71.45
3803,NH,PORTSMOUTH,43.05,-70.78
3298,NH,TILTON,43.44,-71.58
3299,NH,TILTON,43.44,-71.58
5405,VT,BURLINGTON,44.48,-73.22
5439,VT,COLCHESTER,44.53,-73.15
5603,VT,MONTPELIER,44.26,-72.57
5604,VT,MONTPELIER,44.26,-72.57
5609,VT,MONTPELIER,44.26,-72.57
5620,VT,MONTPELIER,44.26,-72.57
5633,VT,MONTPELIER,44.26,-72.57
5479,VT,SAINT ALBANS,44.81,-73.08
5671,VT,WATERBURY,44.33,-72.75
5009,VT,WHITE RIVER JUNCTION,43.65,-72.32
6673,CT,BRIDGEPORT,41.18,-73.19
6699,CT,BRIDGEPORT,41.18,-73.19
6408,CT,CHESHIRE,41.5,-72.9
6411,CT,CHESHIRE,41.5,-72.9
6814,CT,DANBURY,41.4,-73.47
6816,CT,DANBURY,41.4,-73.47
6817,CT,DANBURY,41.4,-73.47
6828,CT,FAIRFIELD,41.13,-73.28
6030,CT,FARMINGTON,41.71,-72.83
6150,CT,HARTFORD,41.76,-72.68
6151,CT,HARTFORD,41.76,-72.68
6153,CT,HARTFORD,41.76,-72.68
6154,CT,HARTFORD,41.76,-72.68
6155,CT,HARTFORD,41.76,-72.68
6156,CT,HARTFORD,41.76,-72.68
6160,CT,HARTFORD,41.76,-72.68
6161,CT,HARTFORD,41.76,-72.68
6167,CT,HARTFORD,41.76,-72.68
6176,CT,HARTFORD,41.76,-72.68
6180,CT,HARTFORD,41.76,-72.68
6183,CT,HARTFORD,41.76,-72.68
6041,CT,MANCHESTER,41.78,-72.51
6459,CT,MIDDLETOWN,41.54,-72.65
6537,CT,NEW HAVEN,41.31,-72.92
6538,CT,NEW HAVEN,41.31,-72.92
6540,CT,NEW HAVEN,41.31,-72.92
6857,CT,NORWALK,41.09,-73.42
6858,CT,NORWALK,41.09,-73.42
6859,CT,NORWALK,41.09,-73.42
6860,CT,NORWALK,41.09,-73.42
6879,CT,RIDGEFIELD,41.27,-73.49
6913,CT,STAMFORD,41.09,-73.55
6914,CT,STAMFORD,41.09,-73.55
6920,CT,STAMFORD,41.09,-73.55
6921,CT,STAMFORD,41.09,-73.55
6922,CT,STAMFORD,41.09,-73.55
6925,CT,STAMFORD,41.09,-73.55
6926,CT,STAMFORD,41.09,-73.55
6927,CT,STAMFORD,41.09,-73.55
6928,CT,STAMFORD,41.09,-73.55
6269,CT,STORRS MANSFIELD,41.8,-72.25
6080,CT,SUFFIELD,41.98,-72.65
6792,CT,TORRINGTON,41.77,-73.06
6087,CT,UNIONVILLE,41.75,-72.88
6493,CT,WALLINGFORD,41.44,-72.81
6494,CT,WALLINGFORD,41.44,-72.81
6495,CT,WALLINGFORD,41.46,-72.8
6701,CT,WATERBURY,41.55,-73.03
6749,CT,WATERBURY,41.55,-73.03
6888,CT,WESTPORT,41.12,-73.34
6889,CT,WESTPORT,41.12,-73.34
6006,CT,WINDSOR,41.85,-72.65
1063,MA,NORTHAMPTON,42.32,-72.67
1111,MA,SPRINGFIELD,42.11,-72.53
1199,MA,SPRINGFIELD,42.11,-72.53
1263,MA,STOCKBRIDGE,42.3,-73.32
2783,MA,TAUNTON,41.9,-71.09
2902,RI,PROVIDENCE,41.82,-71.41
2912,RI,PROVIDENCE,41.82,-71.41
2918,RI,PROVIDENCE,41.82,-71.41
7890,NJ,BRANCHVILLE,41.14,-74.74
7699,NJ,TETERBORO,40.85,-74.06
7097,NJ,JERSEY CITY,40.71,-74.06
7395,NJ,JERSEY CITY,40.72,-74.08
7399,NJ,JERSEY CITY,40.71,-74.06
7099,NJ,KEARNY,40.75,-74.11
7175,NJ,NEWARK,40.72,-74.17
7184,NJ,NEWARK,40.72,-74.17
7188,NJ,NEWARK,40.72,-74.17
7189,NJ,NEWARK,40.72,-74.17
7191,NJ,NEWARK,40.72,-74.17
7192,NJ,NEWARK,40.72,-74.17
7193,NJ,NEWARK,40.72,-74.17
7195,NJ,NEWARK,40.72,-74.17
7198,NJ,NEWARK,40.72,-74.17
7199,NJ,NEWARK,40.72,-74.17
8905,NJ,NEW BRUNSWICK,40.48,-74.44
8933,NJ,NEW BRUNSWICK,40.48,-74.44
8989,NJ,NEW BRUNSWICK,40.48,-74.44
10043,NY,NEW YORK,40.71,-73.99
10080,NY,NEW YORK,40.71,-73.99
10081,NY,NEW YORK,40.71,-73.99
10087,NY,NEW YORK,40.71,-73.99
10102,NY,NEW YORK,40.71,-73.99
10109,NY,NEW YORK,40.71,-73.99
10114,NY,NEW YORK,40.71,-73.99
10117,NY,NEW YORK,40.71,-73.99
10124,NY,NEW YORK,40.71,-73.99
10125,NY,NEW YORK,40.71,-73.99
10126,NY,NEW YORK,40.71,-73.99
10130,NY,NEW YORK,40.71,-73.99
10131,NY,NEW YORK,40.71,-73.99
10132,NY,NEW YORK,40.71,-73.99
10133,NY,NEW YORK,40.71,-73.99
10138,NY,NEW YORK,40.71,-73.99
10157,NY,NEW YORK,40.71,-73.99
10160,NY,NEW YORK,40.71,-73.99
10164,NY,NEW YORK,40.71,-73.99
10179,NY,NEW YORK,40.71,-73.99
10203,NY,NEW YORK,40.71,-73.99
10211,NY,NEW YORK,40.71,-73.99
10212,NY,NEW YORK,40.71,-73.99
10213,NY,NEW YORK,40.71,-73.99
10256,NY,NEW YORK,40.71,-73.99
10257,NY,NEW YORK,40.71,-73.99
10258,NY,NEW YORK,40.71,-73.99
10259,NY,NEW YORK,40.71,-73.99
10260,NY,NEW YORK,40.71,-73.99
10261,NY,NEW YORK,40.71,-73.99
10265,NY,NEW YORK,40.71,-73.99
10269,NY,NEW YORK,40.71,-73.99
10273,NY,NEW YORK,40.71,-73.99
10275,NY,NEW YORK,40.71,-73.99
10277,NY,NEW YORK,40.71,-73.99
10285,NY,NEW YORK,40.71,-73.99
10286,NY,NEW YORK,40.71,-73.99
10292,NY,NEW YORK,40.71,-73.99
12604,NY,POUGHKEEPSIE,41.69,-73.92
11245,NY,BROOKLYN,40.64,-73.94
11251,NY,BROOKLYN,40.64,-73.94
11381,NY,FLUSHING,40.77,-73.84
11390,NY,FLUSHING,40.77,-73.84
11405,NY,JAMAICA,40.68,-73.78
11425,NY,JAMAICA,40.68,-73.78
11439,NY,JAMAICA,40.68,-73.78
11451,NY,JAMAICA,40.68,-73.78
11499,NY,JAMAICA,40.68,-73.78
11120,NY,LONG ISLAND CITY,40.74,-73.93
11051,NY,PORT WASHINGTON,40.82,-73.68
11052,NY,PORT WASHINGTON,40.82,-73.68
11053,NY,PORT WASHINGTON,40.82,-73.68
11054,NY,PORT WASHINGTON,40.82,-73.68
11055,NY,PORT WASHINGTON,40.82,-73.68
11736,NY,FARMINGDALE,40.73,-73.44
11535,NY,GARDEN CITY,40.72,-73.64
11549,NY,HEMPSTEAD,40.7,-73.61
11815,NY,HICKSVILLE,40.76,-73.52
11819,NY,HICKSVILLE,40.76,-73.52
11854,NY,HICKSVILLE,40.76,-73.52
501,NY,HOLTSVILLE,40.81,-73.04
544,NY,HOLTSVILLE,40.81,-73.04
11775,NY,MELVILLE,40.78,-73.41
11853,NY,JERICHO,40.78,-73.54
11794,NY,STONY BROOK,40.9,-73.12
11773,NY,SYOSSET,40.81,-73.5
11555,NY,UNIONDALE,40.7,-73.59
12214,NY,ALBANY,42.66,-73.79
12222,NY,ALBANY,42.66,-73.79
12227,NY,ALBANY,42.66,-73.79
12228,NY,ALBANY,42.66,-73.79
12229,NY,ALBANY,42.66,-73.79
12230,NY,ALBANY,42.66,-73.79
12231,NY,ALBANY,42.66,-73.79
12232,NY,ALBANY,42.66,-73.79
12233,NY,ALBANY,42.66,-73.79
12234,NY,ALBANY,42.66,-73.79
12235,NY,ALBANY,42.66,-73.79
12236,NY,ALBANY,42.66,-73.79
12237,NY,ALBANY,42.66,-73.79
12238,NY,ALBANY,42.66,-73.79
12239,NY,ALBANY,42.66,-73.79
12240,NY,ALBANY,42.66,-73.79
12241,NY,ALBANY,42.66,-73.79
12242,NY,ALBANY,42.66,-73.79
12243,NY,ALBANY,42.66,-73.79
12244,NY,ALBANY,42.66,-73.79
12245,NY,ALBANY,42.66,-73.79
12246,NY,ALBANY,42.66,-73.79
12248,NY,ALBANY,42.66,-73.79
12249,NY,ALBANY,42.66,-73.79
12250,NY,ALBANY,42.66,-73.79
12252,NY,ALBANY,42.66,-73.79
12255,NY,ALBANY,42.66,-73.79
12256,NY,ALBANY,42.66,-73.79
12257,NY,ALBANY,42.66,-73.79
12261,NY,ALBANY,42.66,-73.79
12288,NY,ALBANY,42.66,-73.79
13024,NY,AUBURN,42.93,-76.56
13699,NY,POTSDAM,44.66,-74.98
13449,NY,ROME,43.21,-75.47
12345,NY,SCHENECTADY,42.8,-73.92
13225,NY,SYRACUSE,43.04,-76.14
13244,NY,SYRACUSE,43.04,-76.14
13250,NY,SYRACUSE,43.04,-76.14
13251,NY,SYRACUSE,43.04,-76.14
13252,NY,SYRACUSE,43.04,-76.14
13599,NY,UTICA,43.1,-75.23
19712,DE,NEWARK,39.67,-75.75
19718,DE,NEWARK,39.67,-75.75
19725,DE,NEWARK,39.67,-75.75
19726,DE,NEWARK,39.67,-75.75
19721,DE,NEW CASTLE,39.66,-75.57
19884,DE,WILMINGTON,39.73,-75.53
19885,DE,WILMINGTON,39.73,-75.53
19886,DE,WILMINGTON,39.73,-75.53
19890,DE,WILMINGTON,39.73,-75.53
19891,DE,WILMINGTON,39.73,-75.53
19892,DE,WILMINGTON,39.73,-75.53
19893,DE,WILMINGTON,39.73,-75.53
19894,DE,WILMINGTON,39.73,-75.53
19895,DE,WILMINGTON,39.73,-75.53
19896,DE,WILMINGTON,39.73,-75.53
19897,DE,WILMINGTON,39.73,-75.53
19898,DE,WILMINGTON,39.73,-75.53
8405,NJ,ATLANTIC CITY,39.36,-74.42
7715,NJ,BELMAR,40.17,-74.02
8541,NJ,PRINCETON,40.35,-74.65
8544,NJ,PRINCETON,40.35,-74.65
7709,NJ,RED BANK,40.23,-74
8645,NJ,TRENTON,40.22,-74.76
8646,NJ,TRENTON,40.22,-74.76
8647,NJ,TRENTON,40.22,-74.76
8666,NJ,TRENTON,40.22,-74.76
8695,NJ,TRENTON,40.22,-74.76
14233,NY,BUFFALO,42.88,-78.85
14241,NY,BUFFALO,42.88,-78.85
14260,NY,BUFFALO,42.88,-78.85
14261,NY,BUFFALO,42.88,-78.85
14263,NY,BUFFALO,42.88,-78.85
14264,NY,BUFFALO,42.88,-78.85
14265,NY,BUFFALO,42.88,-78.85
14267,NY,BUFFALO,42.88,-78.85
14269,NY,BUFFALO,42.88,-78.85
14270,NY,BUFFALO,42.88,-78.85
14272,NY,BUFFALO,42.88,-78.85
14273,NY,BUFFALO,42.88,-78.85
14276,NY,BUFFALO,42.88,-78.85
14831,NY,CORNING,42.14,-77.05
14638,NY,ROCHESTER,43.16,-77.61
14639,NY,ROCHESTER,43.16,-77.61
14642,NY,ROCHESTER,43.16,-77.61
14643,NY,ROCHESTER,43.16,-77.61
14644,NY,ROCHESTER,43.16,-77.61
14646,NY,ROCHESTER,43.16,-77.61
14647,NY,ROCHESTER,43.16,-77.61
14649,NY,ROCHESTER,43.16,-77.61
14650,NY,ROCHESTER,43.16,-77.61
14651,NY,ROCHESTER,43.16,-77.61
14652,NY,ROCHESTER,43.16,-77.61
14653,NY,ROCHESTER,43.16,-77.61
14694,NY,ROCHESTER,43.16,-77.61
16475,PA,ALBION,41.88,-80.36
16016,PA,BOYERS,41.11,-79.9
16017,PA,BOYERS,41.11,-79.9
16018,PA,BOYERS,41.11,-79.9
16699,PA,CRESSON,40.46,-78.58
16444,PA,EDINBORO,41.87,-80.12
16522,PA,ERIE,42.12,-80.08
16530,PA,ERIE,42.12,-80.08
16531,PA,ERIE,42.12,-80.08
16534,PA,ERIE,42.12,-80.08
16538,PA,ERIE,42.12,-80.08
16553,PA,ERIE,42.12,-80.08
15605,PA,GREENSBURG,40.31,-79.54
15606,PA,GREENSBURG,40.31,-79.54
16698,PA,HOUTZDALE,40.82,-78.35
16654,PA,HUNTINGDON,40.49,-78.01
15705,PA,INDIANA,40.62,-79.15
16388,PA,MEADVILLE,41.64,-80.14
15069,PA,NEW KENSINGTON,40.56,-79.75
16172,PA,NEW WILMINGTON,41.11,-80.33
15252,PA,PITTSBURGH,40.43,-79.97
15254,PA,PITTSBURGH,40.43,-79.97
15255,PA,PITTSBURGH,40.43,-79.97
15257,PA,PITTSBURGH,40.43,-79.97
15258,PA,PITTSBURGH,40.43,-79.97
15259,PA,PITTSBURGH,40.43,-79.97
15261,PA,PITTSBURGH,40.43,-79.97
15262,PA,PITTSBURGH,40.43,-79.97
